run,cohort,delta
Higgs R1,ordinary no-card,0.0002390400152986194
Higgs R1,ordinary no-card,-7.968000509939177e-05
Higgs R1,ordinary no-card,-7.968000509950279e-05
Higgs R1,ordinary no-card,-0.0010358400662936473
Higgs R1,ordinary no-card,-0.0009880320632339457
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,0.0007808640499753494
Higgs R1,ordinary no-card,0.0020876161336074173
Higgs R1,ordinary no-card,6.374400407960223e-05
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,0.0001274880081593155
Higgs R1,no-card control,-0.0005577600356966306
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,0.0007808640499753494
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,-1.5936001019789536e-05
Higgs R1,ordinary no-card,0.0006055680387564433
Higgs R1,ordinary no-card,0.0006055680387564433
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,0.0020876161336074173
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,-0.0036334082325379935
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,-0.00028684801835821006
Higgs R1,ordinary no-card,-0.008191104524230775
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,-0.009019776577265715
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.003952128252936227
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,0.0
Higgs R1,no-card control,0.0
Higgs R1,ordinary no-card,0.0014183040907713718
Higgs R1,card-selected,0.0
Higgs R1,card-selected,-0.00023904001529850838
Higgs R1,ordinary no-card,-0.0007808640499753494
Higgs R1,card-selected,0.0006055680387564433
Higgs R1,card-selected,-0.00043027202753753713
Higgs R1,card-selected,-0.006677184427339888
Higgs R1,card-selected,-0.00011155200713930391
Higgs R1,card-selected,-0.0017848321142293067
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,-0.0005577600356966306
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,0.0
Higgs R1,no-card control,0.00487641631209057
Higgs R1,card-selected,0.00033465602141802275
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,-0.00028684801835821006
Higgs R1,card-selected,0.00041433602651752555
Higgs R1,ordinary no-card,-0.0001912320122388067
Higgs R1,card-selected,0.00162547210403019
Higgs R1,card-selected,7.968000509972484e-05
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.0008605440550748522
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,-0.0005099520326368179
Higgs R1,ordinary no-card,-6.374400407960223e-05
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.0015457920989306873
Higgs R1,card-selected,-0.0003027840193779996
Higgs R1,card-selected,-0.00017529601121879512
Higgs R1,ordinary no-card,-0.00015936001019900559
Higgs R1,card-selected,0.0010039680642539572
Higgs R1,card-selected,0.0073943044732356356
Higgs R1,no-card control,0.0
Higgs R1,ordinary no-card,-0.012477888798584913
Higgs R1,card-selected,0.00044620802855721564
Higgs R1,card-selected,-0.0008286720530349401
Higgs R1,ordinary no-card,-0.00019123201223891773
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,-0.0004621440295772272
Higgs R1,card-selected,0.010230912654778379
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,0.0005099520326370399
Higgs R1,card-selected,-0.009673152619081749
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,0.0017051521091296928
Higgs R1,ordinary no-card,6.374400407949121e-05
Higgs R1,ordinary no-card,0.00043027202753720406
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.00108364806935346
Higgs R1,ordinary no-card,0.0012748800815923778
Higgs R1,ordinary no-card,0.0015457920989307983
Higgs R1,card-selected,-0.00025497601631840894
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,-0.019202881228984503
Higgs R1,ordinary no-card,0.0016573441060701022
Higgs R1,ordinary no-card,-0.0009083520581343318
Higgs R1,ordinary no-card,0.0010199040652739688
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,0.0006055680387564433
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.0022947841468662356
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.00011155200713941493
Higgs R1,card-selected,-0.0004780800305973498
Higgs R1,card-selected,0.008924160571146422
Higgs R1,ordinary no-card,-0.0007330560469156477
Higgs R1,card-selected,-0.0015617280999505878
Higgs R1,card-selected,0.0006055680387562212
Higgs R1,card-selected,0.0009561600611942556
Higgs R1,ordinary no-card,0.0005736960367167532
Higgs R1,card-selected,-0.00011155200713930391
Higgs R1,card-selected,0.0006215040397763438
Higgs R1,card-selected,0.0003505920224378123
Higgs R1,ordinary no-card,-0.00015936001019900559
Higgs R1,card-selected,0.0010039680642541793
Higgs R1,card-selected,0.0010677120683335595
Higgs R1,card-selected,0.001051776067313881
Higgs R1,card-selected,-0.0012748800815923778
Higgs R1,ordinary no-card,-0.0012111360775125535
Higgs R1,ordinary no-card,-0.0003346560214178007
Higgs R1,card-selected,-0.0024063361540055395
Higgs R1,ordinary no-card,0.0023266561489060367
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,0.0007489920479354373
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,0.0009561600611942556
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,-1.5936001019789536e-05
Higgs R1,ordinary no-card,0.00011155200713930391
Higgs R1,card-selected,-0.00038246402447783545
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,-0.0008286720530350511
Higgs R1,ordinary no-card,-0.00047808003059701676
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,0.0
Higgs R1,card-selected,-0.001737024111169716
Higgs R1,ordinary no-card,-0.0002709120173383095
Higgs R1,ordinary no-card,-0.0001593600101991166
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,0.00022310401427882987
Higgs R1,card-selected,0.0034899842233588885
Higgs R1,ordinary no-card,0.00015936001019900559
Higgs R1,card-selected,0.004987968319229985
Higgs R1,ordinary no-card,-0.0020876161336075283
Higgs R1,ordinary no-card,0.00046214402957733824
Higgs R1,card-selected,0.0
Higgs R1,card-selected,-0.0013226880846519684
Higgs R1,card-selected,-0.0010677120683335595
Higgs R1,card-selected,0.0
Higgs R1,card-selected,-0.0015298560979105646
Higgs R1,card-selected,0.00044620802855732666
Higgs R1,ordinary no-card,-0.0005896320377365427
Higgs R1,card-selected,-0.00017529601121879512
Higgs R1,card-selected,-1.1102230246251565e-16
Higgs R1,card-selected,1.1102230246251565e-16
Higgs R1,card-selected,0.0
Higgs R1,card-selected,0.00015936001019900559
Higgs R1,card-selected,-0.00017529601121879512
Higgs R1,ordinary no-card,-0.00270912017338365
Higgs R1,card-selected,0.0014023680897515822
Higgs R1,card-selected,-0.0004621440295771162
Higgs R1,card-selected,-0.0014979840958709856
Higgs R1,card-selected,0.0018485761183089089
Higgs R1,ordinary no-card,0.004414272282513343
Higgs R1,ordinary no-card,-0.0012908160826121673
Higgs R1,card-selected,0.0010199040652739688
Higgs R1,card-selected,0.0
Higgs R1,ordinary no-card,-0.0006533760418160339
Higgs R1,card-selected,-0.00044620802855721564
Higgs R1,no-card control,-0.0013226880846519684
Higgs R1,card-selected,-0.00033465602141802275
Higgs R1,ordinary no-card,-4.7808003059701676e-05
Higgs R1,card-selected,-0.0006055680387563322
Higgs R1,ordinary no-card,-0.00025497601631840894
Higgs R1,card-selected,-0.00015936001019889456
Higgs R1,card-selected,-0.0005099520326368179
Higgs R1,ordinary no-card,-0.00022310401427871884
Higgs R1,ordinary no-card,0.0007489920479354373
Higgs R1,ordinary no-card,-0.0032031362050007894
Higgs R1,ordinary no-card,0.0
Higgs R1,ordinary no-card,0.0008924160571146533
Higgs R1,ordinary no-card,-0.0009242880591543434
Higgs R1,ordinary no-card,-0.0005258880336569405
Higgs R1,card-selected,-0.0008605440550746302
Higgs R1,card-selected,0.0005896320377365427
Higgs R1,ordinary no-card,0.003840576245796923
Higgs R1,ordinary no-card,-0.001625472104030301
Higgs R1,card-selected,0.0010199040652739688
Higgs R1,card-selected,0.0004940160316169173
Higgs R1,no-card control,6.374400407960223e-05
Higgs R1,ordinary no-card,-0.001338624085671758
Higgs R1,ordinary no-card,0.00025497601631840894
Higgs R1,ordinary no-card,-0.0008924160571146533
Higgs R1,card-selected,-0.0016732801070898917
Higgs R1,card-selected,0.0029162881866425794
Higgs R1,no-card control,6.374400407960223e-05
Higgs R1,ordinary no-card,0.000398400025497625
Higgs R1,ordinary no-card,0.0
Higgs R1,card-selected,0.0018326401172888973
