bank,id,kind,n,harm,a,b,p_mean,p_lo20,median_gain,ev_mean,kind_founding,kind_direct,kind_unused,kind_invalid
Shared R1,mem-068af0dd0138,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-0b0475490dd8,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-0c2ed0e45fae,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-148fd06b1b32,insight,0.0,0.0,1.0,1.0,0.5,nan,,,2,,,
Shared R1,mem-191b41638da7,insight,0.0,0.0,1.0,1.0,0.5,nan,,,3,,,
Shared R1,mem-27e3573486a0,insight,0.0,0.0,1.0,1.0,0.5,nan,,,5,,,
Shared R1,mem-27f0f1f225e2,insight,2.0,2.0,1.0,3.0,0.25,0.07168223327744425,,0.0,1,,2,
Shared R1,mem-2db1b08a7239,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-316f50476a3f,insight,0.0,0.0,1.0,1.0,0.5,nan,,,3,,,
Shared R1,mem-41f61ab2892d,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-4e20dda7ddcc,insight,0.0,0.0,1.0,1.0,0.5,nan,,,2,,,
Shared R1,mem-511ae36187a9,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-51f6a25ee8d3,insight,0.0,0.0,1.0,1.0,0.5,nan,,,2,,,
Shared R1,mem-541e7c185a9d,insight,0.0,0.0,1.0,1.0,0.5,nan,,,3,,,
Shared R1,mem-558737eac754,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-5bc4ac5f9cf0,insight,2.0,2.0,1.0,3.0,0.25,0.07168223327744425,-0.0016077834230981969,-0.0016077834230981969,2,2,,
Shared R1,mem-61e4b6fb3917,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-6c032e3f5516,insight,2.0,2.0,1.0,3.0,0.25,0.07168223327744425,,0.0,1,,2,
Shared R1,mem-70d8000a8ebf,insight,2.0,1.0,2.0,2.0,0.5,0.2871407254167405,0.00018969102964216944,9.484551482108472e-05,1,1,1,
Shared R1,mem-822cdd498af8,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-85f7ac4a80b4,insight,1.0,1.0,1.0,2.0,0.3333333333333333,0.10557280900008416,,0.0,1,,1,
Shared R1,mem-8a7a59f7d7c2,insight,0.0,0.0,1.0,1.0,0.5,nan,,,2,,,
Shared R1,mem-98d565d3a9a0,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
Shared R1,mem-99c0ccf01b0f,insight,0.0,0.0,1.0,1.0,0.5,nan,,,1,,,
